model,best_ft_experiment,EF1_ft_minus_cold,AUPRC_ft_minus_cold,AUROC_ft_minus_cold,effect_interpretation
HitScreen,Frozen DEL FT 1:1,0.6189999999999998,-0.07099999999999995,-0.025999999999999912,partial gain
GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-2.3718750000000006,-0.2139313113091047,-0.21084199858943398,worse
ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,1.7531250000000007,0.21045708218998993,0.056665138316481345,clear gain
PSICHIC,AuroraA_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_screen,0.9299999999999997,0.09999999999999998,0.007999999999999896,clear gain
DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-2.750000000000001,-0.4507090565541302,-0.3301693662257029,worse
ConPLex,delft_coldv4_ratio_1to5,1.4437048348244996,0.0165091038638554,-0.006529191020750447,clear gain
MMF-DTI,delft_coldv4_ratio_1to10,2.921875,0.1192488415007743,0.06815109257302332,clear gain
