cycle1_synthon,count,fraction,mean_copies,max_copies
C(O)(=O)C(NC(=O)OCC1c2c(cccc2)c2c1cccc2)Cc1c[nH]c2c1cccn2,27,0.125,8.333333333333334,46.0
N([C@H](C(O)=O)Cc1ccc(cc1)N=[N+]=[N-])C(=O)OCC1c2c(cccc2)c2c1cccc2,22,0.10185185185185185,4.681818181818182,7.0
[C@@H](CC(=O)O)(NC(OCC1c2c(c3c1cccc3)cccc2)=O)Cc1ccccc1,4,0.018518518518518517,6.5,10.0
N1(CCC(CC1)C(=O)O)C(OCC1c2c(c3c1cccc3)cccc2)=O,4,0.018518518518518517,5.25,8.0
N([C@@H]1C(N(CCC1)CC(O)=O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,4,0.018518518518518517,4.0,4.0
N([C@H](C(O)=O)Cc1ccc(cc1)OP(OC)(=O)OC)C(=O)OCC1c2c(cccc2)c2c1cccc2,4,0.018518518518518517,4.0,4.0
C(O)(=O)C(NC(=O)OCC1c2c(cccc2)c2c1cccc2)Cc1c[nH]c2c1cc(cc2)F,4,0.018518518518518517,5.5,9.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1cccc2c1cccc2,3,0.013888888888888888,4.0,4.0
c1(ccc(cc1)C(O)=O)NC(OCC1c2c(c3c1cccc3)cccc2)=O,3,0.013888888888888888,4.0,4.0
N([C@H](C(=O)O)CCCCNC(c1cccnc1)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,3,0.013888888888888888,4.666666666666667,6.0
N([C@H]1[C@H](CCCC1)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,3,0.013888888888888888,5.666666666666667,8.0
N([C@H](C(=O)O)C1CCCC1)C(OCC1c2c(c3c1cccc3)cccc2)=O,3,0.013888888888888888,5.333333333333333,8.0
[C@H]1(C(O)=O)N(C[C@@H](C1)OCc1ccccc1)C(=O)OCC1c2c(cccc2)c2c1cccc2,3,0.013888888888888888,5.0,5.0
C(O)(=O)C(NC(=O)OCC1c2c(cccc2)c2c1cccc2)C(c1ccccc1)C,3,0.013888888888888888,5.0,6.0
[C@H](NC(=O)OCC1c2c(cccc2)c2c1cccc2)(C(O)=O)Cc1cccc(c1)Br,3,0.013888888888888888,4.0,4.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(CC(=O)O)C(CC)C,2,0.009259259259259259,5.0,6.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1ncsc1,2,0.009259259259259259,4.0,4.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)C(c1ccccc1)c1ccccc1,2,0.009259259259259259,5.5,6.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1ccccc1[N+](=O)[O-],2,0.009259259259259259,4.0,4.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1c2c(sc1)cccc2,2,0.009259259259259259,6.5,7.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1ccc(cc1)Cl,2,0.009259259259259259,4.0,4.0
N([C@@H](C(=O)O)CC1CC1)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.5,5.0
N([C@@H](C(=O)O)[C@H](C)CC)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.0,6.0
N(CC(=O)O)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.0,4.0
N([C@@H](C(=O)O)Cc1c(cccc1)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.0,5.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1c(cccc1)C,2,0.009259259259259259,4.5,5.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)CCCNC(=O)N,2,0.009259259259259259,4.0,4.0
