metric,n,mean,median,q25,q75,q90,q95,min,max
MW,1387,448.3207123287673,445.4790000000001,413.4580000000001,478.50900000000024,515.5436000000003,541.5548000000002,288.307,660.731
LogP,1387,1.3903481326604183,1.3608999999999996,0.7485000000000005,1.9928000000000001,2.6463600000000014,3.0535500000000018,-2.6836999999999938,4.593100000000003
TPSA,1387,125.65836337418887,123.66000000000001,113.06,139.08999999999997,153.51999999999998,163.435,90.53999999999999,220.67
HBD,1387,3.2840663302090842,3.0,3.0,3.0,4.0,4.0,3.0,6.0
HBA,1387,5.834174477289113,6.0,5.0,7.0,8.0,8.0,3.0,12.0
RotB,1387,8.007930785868782,8.0,7.0,9.0,10.0,11.0,4.0,14.0
RingCount,1387,3.6041816870944485,4.0,3.0,4.0,5.0,5.0,1.0,7.0
HeavyAtomCount,1387,32.36481614996395,32.0,30.0,34.0,37.0,39.0,21.0,46.0
