protein,model,best_ft_experiment,source_file,EF1_bestft_minus_cold,EF5_bestft_minus_cold,AUPRC_bestft_minus_cold,AUROC_bestft_minus_cold
PARP2,HitScreen,DUD-E FT 1:1 lr=5e-5 ep10,/share/home/u25511/wangyan/HitScreen/data/PARP2_results/PARP2_v4homolog_overall_comparison_metrics.csv,26.465,8.04,0.28,0.1829999999999999
PARP2,GraphBAN,PARP2_DUDEgen_1to10_ratio_1to1_v4pretrain_freeze_bcnmlp_lr5e6_ep10,/share/home/u25511/wangyan/GraphBAN/result/PARP2_DUDEgen_1to10_graphban_coldv4_ft_lr5e6_ep10/PARP2_DUDEgen_1to10_ratio_1to1_v4pretrain_freeze_bcnmlp_lr5e6_ep10/screen/PARP2_CHEMBL10_PARP2_DUDEgen_1to10_ratio_1to1_v4pretrain_freeze_bcnmlp_lr5e6_ep10_summary.csv,17.123905723905718,6.906103487707259,0.1643902321750087,0.3141245615698169
PARP2,ColdstartCPI,dudegen_coldv4_freezeFeature_ratio_1to10_lr5e-6_ep10,/share/home/u25511/wangyan/ColdstartCPI/Results/HitScreen_PARP2_DUDEgen_1to10_CHEMBL10_screen/dudegen_coldv4_freezeFeature_ratio_1to10_lr5e-6_ep10/PARP2_CHEMBL10_dudegen_coldv4_freezeFeature_ratio_1to10_lr5e-6_ep10_coverage_summary.csv,12.691836007130124,5.331027253668763,0.0875821465359008,0.2512451862816826
PARP2,PSICHIC,PARP2_CHEMBL10_HitScreen_cold_v4_ft_DUDEgen_1to10_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_screen,/share/home/u25511/wangyan/PSICHIC/result/PARP2_CHEMBL10_HitScreen_cold_v4_ft_DUDEgen_1to10_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_screen/PARP2_CHEMBL10_HitScreen_cold_v4_ft_DUDEgen_1to10_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_results_EF.csv,12.121,3.273,0.127,-0.001
PARP2,DTIAM,cold_v4_frozen_head_ft_DUDEgen_ratio_1to10,/share/home/u25511/wangyan/DTIAM/results/PARP2_DUDEgen_1to10_dtiam_coldv4_frozen_head_ft_lr5e6_ep10_screen/PARP2_DUDEgen_dtiam_pretrain_ft_and_fusion_summary.csv,19.742856011091305,9.006205133091926,0.1858379243439989,0.199272341608108
PARP2,ConPLex,delft_coldv4_ratio_1to5,/share/home/u25511/wangyan/ConPLex/results/PARP2_DUDEgen_1to10_conplex_mlp_head_only_screen/all9_conplex_prediction_summary.csv,4.230612002376708,3.7559510196302632,0.0971151090601728,0.1174185911412188
PARP2,MMF-DTI,dudegen_coldv4_freezeBackbone_ratio_1to10,/share/home/u25511/wangyan/MMF_DTI/results/PARP2_DUDEgen_1to10_mmf_coldv4_freezeBackbone_lr5e6_ep10_screen/PARP2_DUDEgen_mmf_prediction_summary.csv,-0.4029154287977814,1.130823962899434,0.023600925727421,0.2043236163674121
