model,best_ft_experiment,EF1_ft_minus_cold,AUPRC_ft_minus_cold,AUROC_ft_minus_cold,effect_interpretation
HitScreen,Frozen DEL FT 1:1,-2.437000000000001,-0.121,-0.06700000000000006,worse
GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-0.5617021276595757,-0.1340978974594922,-0.14189284302566962,worse
ColdstartCPI,FreezeFeature FT 1:5 lr=1e-5 ep10,2.64468085106383,0.17531489232067493,0.047896867018478284,clear gain
PSICHIC,MAPK14_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to1_stage1_head_pool_attn_lr5e6_ep10_screen,5.320000000000001,0.21300000000000002,0.05799999999999994,clear gain
DTIAM,cold_v4_frozen_head_ft_ratio_1to5,2.012765957446807,-0.1475681673018,-0.22982260566084267,partial gain
ConPLex,delft_coldv4_ratio_1to5,3.884940837401333,0.09986052290915567,0.023065805368295056,clear gain
MMF-DTI,delft_coldv4_ratio_1to5,3.8851063829787233,0.08131102826516942,0.04373230687995333,clear gain
