protein,model,best_ft_experiment,EF1_ft_minus_cold,EF1_ft_minus_original,EF5_ft_minus_cold,EF5_ft_minus_original,AUPRC_ft_minus_cold,AUPRC_ft_minus_original,AUROC_ft_minus_cold,AUROC_ft_minus_original
CK1a,HitScreen,Frozen DEL FT 1:5,0.0,-6.200999999999999,1.5510000000000002,-2.1699999999999995,0.104,-0.1189999999999999,0.12,-0.021
CK1a,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-2.2,-0.7333333333333333,0.4647887323943661,0.7746478873239436,0.0323616795117849,-0.0103049628129553,0.103293071329848,-0.0473589327564447
CK1a,ColdstartCPI,FreezeFeature FT 1:5 lr=1e-5 ep10,0.0,0.0,-0.7746478873239433,-1.2394366197183098,-0.0287318681422608,-0.076212235641325,-0.0476293491977645,-0.1476533862147707
CK1a,PSICHIC,CK1a_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e5_ep10_screen,1.55,-0.776,-1.085,-2.1710000000000003,-0.049,-0.076,-0.139,-0.152
CK1a,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-4.4,-8.8,-1.3943661971830985,-4.802816901408451,-0.0488793359072121,-0.2545803797628179,-0.0738296977345113,-0.1233880175470225
CK1a,ConPLex,delft_coldv4_ratio_1to5,2.2,-1.4666666666666672,0.1549295774647885,-1.3943661971830985,-0.0033108567177233,-0.12165549365275,-0.0202511868277147,-0.1094555615648099
CK1a,MMF-DTI,delft_coldv4_ratio_1to1,-2.933333333333333,0.0,-1.23943661971831,-0.929577464788732,-0.0374596230051947,-0.0564975602609625,-0.0240700679045731,-0.1659876209362417
