protein,model,best_ft_experiment,EF1_ft_minus_cold,AUPRC_ft_minus_cold,EF1_ft_minus_original,AUPRC_ft_minus_original,effect_vs_cold,effect_vs_original
AuroraA,HitScreen,Frozen DEL FT 1:1,0.6189999999999998,-0.0709999999999999,-1.032,-0.159,partial_gain_vs_cold,below_original
AuroraA,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-2.3718750000000006,-0.2139313113091047,-5.053125,-0.4991541913675782,worse_vs_cold,below_original
AuroraA,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,1.7531250000000007,0.2104570821899899,0.2750000000000003,-0.0547924597007496,clear_gain_vs_cold,partly_exceeds_original
AuroraA,PSICHIC,AuroraA_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_screen,0.9299999999999996,0.0999999999999999,-0.4809999999999998,-0.028,clear_gain_vs_cold,below_original
AuroraA,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-2.750000000000001,-0.4507090565541302,-3.9875,-0.5750970934648324,worse_vs_cold,below_original
AuroraA,ConPLex,delft_coldv4_ratio_1to5,1.4437048348244996,0.0165091038638554,-0.8593481159669647,-0.1952224452931875,clear_gain_vs_cold,below_original
AuroraA,MMF-DTI,delft_coldv4_ratio_1to10,2.921875,0.1192488415007743,-0.34375,-0.2106322141268156,clear_gain_vs_cold,below_original
DDR1,HitScreen,Frozen DEL FT 1:1,-0.3530000000000015,0.138,-1.620000000000001,-0.129,partial_gain_vs_cold,below_original
DDR1,GraphBAN,V4 FT 1:5 lr=5e-6 ep10,0.9808917197452228,0.0364471274655666,-4.764331210191083,-0.1208894665536204,clear_gain_vs_cold,below_original
DDR1,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,-3.082802547770701,0.0541516377477344,-5.114649681528662,-0.0165086152852347,partial_gain_vs_cold,below_original
DDR1,PSICHIC,DDR1_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to10_stage1_head_pool_attn_lr5e5_ep10_screen,-2.324,0.145,-1.338,0.138,partial_gain_vs_cold,partly_exceeds_original
DDR1,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,3.3630573248407654,0.4343769579831016,2.452229299363059,0.4069014087811023,clear_gain_vs_cold,exceeds_original
DDR1,ConPLex,delft_coldv4_ratio_1to10,1.4712433838701011,0.1898492870417366,4.2736117340988615,0.2699808425649849,clear_gain_vs_cold,exceeds_original
DDR1,MMF-DTI,delft_coldv4_ratio_1to10,-0.9108280254777072,0.0482011416523427,-4.273885350318471,0.0237979679468228,partial_gain_vs_cold,partly_exceeds_original
CK1a,HitScreen,Frozen DEL FT 1:5,0.0,0.104,-6.200999999999999,-0.1189999999999999,partial_gain_vs_cold,below_original
CK1a,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-2.2,0.0323616795117849,-0.7333333333333333,-0.0103049628129553,partial_gain_vs_cold,below_original
CK1a,ColdstartCPI,FreezeFeature FT 1:5 lr=1e-5 ep10,0.0,-0.0287318681422608,0.0,-0.076212235641325,worse_vs_cold,below_original
CK1a,PSICHIC,CK1a_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e5_ep10_screen,1.55,-0.049,-0.776,-0.076,partial_gain_vs_cold,below_original
CK1a,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-4.4,-0.0488793359072121,-8.8,-0.2545803797628179,worse_vs_cold,below_original
CK1a,ConPLex,delft_coldv4_ratio_1to5,2.2,-0.0033108567177233,-1.4666666666666672,-0.12165549365275,partial_gain_vs_cold,below_original
CK1a,MMF-DTI,delft_coldv4_ratio_1to1,-2.933333333333333,-0.0374596230051947,0.0,-0.0564975602609625,worse_vs_cold,below_original
CAIX,HitScreen,Frozen DEL FT 1:10,0.9850000000000004,-0.0069999999999999,-2.913,-0.5790000000000001,partial_gain_vs_cold,below_original
CAIX,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-3.059047619047618,-0.1866026265072304,0.3142857142857145,-0.0150123520774498,worse_vs_cold,partly_exceeds_original
CAIX,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,-3.582857142857143,-0.114407399175112,0.2514285714285715,0.0569626217940192,worse_vs_cold,exceeds_original
CAIX,PSICHIC,CAIX_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to1_stage1_head_pool_attn_lr5e6_ep10_screen,-0.5449999999999999,-0.125,1.95,-0.189,worse_vs_cold,partly_exceeds_original
CAIX,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-5.11238095238095,-0.4378426776670608,-5.699047619047618,-0.5397569649939424,worse_vs_cold,below_original
CAIX,ConPLex,delft_coldv4_ratio_1to10,0.4399999999999999,-0.0113021820540595,-1.697142857142857,-0.1877133190794915,partial_gain_vs_cold,below_original
CAIX,MMF-DTI,delft_coldv4_ratio_1to1,-4.965714285714286,-0.203851328560117,-2.849523809523809,-0.1120293861542825,worse_vs_cold,below_original
