metric,n,mean,median,q25,q75,q90,q95,min,max
MW,1107,546.0027533875341,543.6090000000003,500.62500000000034,585.0895000000003,629.7610000000002,652.4364000000002,368.39300000000014,763.4470000000001
LogP,1107,3.7775439205058743,3.8075000000000028,2.8910000000000005,4.6608000000000045,5.495148000000005,5.854220000000006,-0.6907999999999983,7.587700000000007
TPSA,1107,129.86505871725385,128.68,115.03,142.71500000000003,158.024,167.168,84.46,207.7
HBD,1107,2.3441734417344176,2.0,2.0,3.0,3.0,4.0,1,6
HBA,1107,7.118337850045167,7.0,6.0,8.0,9.0,9.0,4,13
RotB,1107,9.009936766034327,9.0,8.0,10.0,11.0,12.0,4,15
RingCount,1107,5.127371273712737,5.0,5.0,6.0,6.0,6.0,3,8
HeavyAtomCount,1107,39.17976513098464,39.0,36.0,42.0,45.0,46.0,27,52
