metric,n,min,q25,median,q75,q90,q95,max,mean
sel_sum,1107,6.0,7.0,8.0,13.0,26.0,34.0,109.0,12.790424570912375
ctrl,1107,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.009033423667570008
R_MLE,1107,17.0,17.0,22.33333333333333,35.666666666666664,67.66666666666667,90.8666666666668,291.6666666666667,34.4624176438468
log10_R,1107,1.230448921378274,1.230448921378274,1.348953547981164,1.5522625229655471,1.8303747831935504,1.9583650093708946,2.464886798302651,1.4509343717041847
rep_gt_ctrl,1107,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.067750677506775
corrected_index7,1107,0.0,0.0,1.0,5.0,9.0,17.0,93.0,3.6729900632339656
corrected_index8,1107,0.0,0.0,1.0,5.0,9.0,17.0,60.0,3.869015356820235
corrected_index11,1107,0.0,1.0,2.0,6.0,12.0,21.0,108.0,5.248419150858175
corrected_index13,1107,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.009033423667570008
