bb3,count,fraction,mean_read_count,max_read_count
NCCC(C1=CC=C(F)C=C1)C1=CC=CO1,3869,0.18296604558781804,942.0927888343241,4712.0
NCCC(C1=CC=CC=C1)C1=CC=CC=C1,2821,0.13340584507708314,963.3569656150302,4335.0
NCCC1CCCCCCC1,1635,0.07731958762886598,1017.0012232415902,4704.0
CCC(C)C1=CC=C(N)C=C1,757,0.03579873262082663,941.5244385733157,3385.0
NCC1=C(C(F)(F)F)C=C(Cl)C=C1,698,0.03300860682871465,949.080229226361,3798.0
NCC1(C2=CC=C(Cl)C=C2)CCC1,484,0.022888489548850848,958.9214876033058,3413.0
NCCC1CCCCC1,425,0.020098363756738864,944.0,3604.0
NCC1=C(OC(F)(F)F)C=CC=C1,409,0.019341719474132223,869.3251833740832,2996.0
CCCOC1=C(CCCN)C=CC=C1,352,0.01664617421734607,953.8778409090909,2882.0
CC(C)CCCCCN,328,0.015511207793436111,923.435975609756,3035.0
CCOC1=C(CCCN)C=CC=C1,310,0.014659982975503642,1010.1161290322581,3565.0
NCC1=C(C2=CC=CC=C2)C=CC=C1,296,0.013997919228222832,944.6891891891892,4155.0
CC1=CSC(N)=N1,264,0.012484630663009552,818.4128787878788,2201.0
NC1=CC=C(OC2=C(F)C=CC=C2)C=C1,263,0.012437340395346637,982.0570342205323,3113.0
NC1=CC=C(OC2=CC=C(F)C=C2)C=C1,226,0.010687600491818784,982.0884955752213,4658.0
NC1=CC=C(N2C=CC(C(F)(F)F)=N2)C=C1,218,0.010309278350515464,860.7018348623853,2610.0
NC1=CC=C(OC2=CC=CC=C2)C=C1,192,0.009079731391279674,891.1770833333334,3022.0
CC1=C(C2=CC=C(N)C=C2)C=CC=C1,185,0.00874869951763927,801.5405405405405,2195.0
NC1=C(Cl)C=C(F)C=C1,176,0.008323087108673036,820.9204545454545,2333.0
NCC1=C(C(F)(F)F)C=CC(F)=C1,175,0.00827579684101012,879.2742857142857,2572.0
CCCNC(=O)NC1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1,175,0.00827579684101012,1031.2628571428572,3266.0
CCCCNC(=O)C1=CC(B(O)O)=C(F)C=C1,164,0.0077556038967180555,944.1280487804878,2756.0
CC(C)CC1(CN)CCC1,150,0.007093540149437246,912.0333333333333,2901.0
COC1=CC(OC2=CC=C(N)C=C2)=CC=C1,147,0.006951669346448501,892.5986394557823,3248.0
NCCCC1=C(F)C=CC=C1,144,0.006809798543459756,921.3611111111111,2786.0
COC1=CC(Cl)=C(CN)C=C1,140,0.006620637472808096,803.5428571428571,2693.0
CCCCCCCN,138,0.006526056937482266,1002.0434782608696,3933.0
NCCCN1CCCC2=C1C=CC=C2,136,0.006431476402156436,822.2426470588235,2871.0
CCC(CN)CC1=CC=CC=C1,134,0.006336895866830606,853.8059701492538,2666.0
CCCCC1CCC(C(=O)O)CC1,129,0.006100444528516031,1058.5968992248063,3044.0
NCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,129,0.006100444528516031,867.5271317829457,3688.0
CC(C)C1=CC=C(N)C=C1,126,0.005958573725527287,845.8571428571429,3955.0
CC1(C)OB(C2=CC=C(NC(=O)NCC3=CC=CO3)C=C2)OC1(C)C,125,0.005911283457864371,903.896,4202.0
CC(C)CNC(=O)C1=CC(B(O)O)=CC=C1,120,0.005674832119549797,914.2,4099.0
NCC1CCCCCC1,113,0.005343800245909392,890.8761061946902,2127.0
COC1=CC=C(OC2=CC=C(N)C=C2)C=C1,110,0.005201929442920647,850.7181818181818,2692.0
CCC[C@H]1CC[C@H](C(=O)O)CC1,107,0.005060058639931902,940.4859813084112,3277.0
NCCCC1=CC=CC=C1,105,0.004965478104606072,926.3333333333334,2993.0
COC1=C(F)C(N)=CC=C1Cl,102,0.004823607301617327,824.1764705882352,2276.0
CC(C)C1CCC(C(=O)O)CC1,100,0.004729026766291497,865.47,2611.0
NCC1=C(N2C=CC=C2)C=CC=C1,97,0.0045871559633027525,802.020618556701,2911.0
CCCCNC(=O)C1=CC(B(O)O)=CC=C1,94,0.004445285160314007,899.8936170212766,2418.0
NCC1(C2=CC=CC=C2)CCC1,93,0.0043979948926510925,840.247311827957,2425.0
NC1=CC=C(OC2=CN=CC=C2)C=C1,79,0.0037359311453702827,895.9620253164557,3318.0
CCCCCCN,76,0.0035940603423815377,977.9078947368421,2541.0
CC1=NN(CC(C)CN)C(C(F)(F)F)=C1,70,0.003310318736404048,788.0714285714286,2046.0
CC(C)(C)C1CCC(N)CC1,67,0.003168447933415303,718.9402985074627,1519.0
NCC1=C(Cl)C(Cl)=CC=C1,65,0.0030738673980894734,853.5692307692308,3420.0
CC1=CC(C)=C(CN)C=C1,64,0.0030265771304265584,881.84375,2764.0
CCCC1(CN)CCC1,64,0.0030265771304265584,784.78125,1977.0
NCC1=CC(F)=C(C(F)(F)F)C=C1,61,0.0028847063274378133,830.2622950819672,1822.0
