metric,n,mean,median,q25,q75,q90,q95,min,max
MW,2000,493.2624515000003,489.6320000000003,452.92225000000013,533.6860000000001,571.6028000000002,594.81735,151.20899999999997,859.4709999999999
LogP,2000,3.0240012700000025,3.0997900000000014,2.0633049999999993,4.0228800000000025,4.813520000000005,5.334212000000005,-2.1052999999999944,7.8206000000000095
TPSA,2000,102.766265,101.46000000000002,87.20999999999998,117.05,135.09400000000002,146.266,29.85,220.95999999999998
HBD,2000,2.05,2.0,1.0,3.0,3.0,4.0,0.0,7.0
HBA,2000,5.8235,6.0,5.0,7.0,8.0,9.0,1.0,14.0
RotB,2000,8.9675,9.0,7.0,10.0,12.0,13.0,1.0,17.0
RingCount,2000,3.874,4.0,3.0,5.0,5.0,6.0,0.0,8.0
HeavyAtomCount,2000,35.251,35.0,32.0,38.0,41.0,42.049999999999955,11.0,55.0
