metric,n,mean,median,q25,q75,q90,q95,min,max
MW,2000,490.9223775000002,488.51200000000017,451.64400000000023,529.7125000000002,568.7302000000001,591.6379000000004,151.19999999999996,791.009
LogP,2000,2.846915460000002,2.891190000000001,1.845509999999999,3.867835000000003,4.738268000000005,5.265105000000005,-2.188499999999996,7.403500000000007
TPSA,2000,102.09814000000001,99.855,84.5025,117.905,135.913,146.53350000000003,12.03,254.06999999999994
HBD,2000,1.976,2.0,1.0,3.0,3.0,4.0,0.0,6.0
HBA,2000,5.8535,6.0,5.0,7.0,8.0,9.0,1.0,13.0
RotB,2000,8.9715,9.0,7.0,10.0,12.0,13.0,2.0,23.0
RingCount,2000,3.794,4.0,3.0,5.0,5.0,6.0,0.0,8.0
HeavyAtomCount,2000,35.01,35.0,32.0,38.0,41.0,42.0,10.0,51.0
