model,best_ft_experiment,EF1_ft_minus_cold,AUPRC_ft_minus_cold,AUROC_ft_minus_cold,effect_interpretation
HitScreen,Frozen DEL FT 1:10,0.9850000000000003,-0.0069999999999999785,-0.027000000000000024,partial gain
GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-3.059047619047618,-0.1866026265072304,-0.14447832066868405,worse
ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,-3.582857142857143,-0.11440739917511208,-0.12845516436484117,worse
PSICHIC,CAIX_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to1_stage1_head_pool_attn_lr5e6_ep10_screen,-0.5449999999999999,-0.125,-0.1070000000000001,worse
DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-5.11238095238095,-0.43784267766706086,-0.2260467188031371,worse
ConPLex,delft_coldv4_ratio_1to10,0.43999999999999995,-0.0113021820540595,-0.011818859848994223,partial gain
MMF-DTI,delft_coldv4_ratio_1to1,-4.965714285714286,-0.203851328560117,-0.18621620150492635,worse
