scaffold,count,fraction,mean_Fn,max_Fn
c1ccc(-c2ccc(C3CN(Cc4cc[nH]n4)C3)cc2)cc1,37,0.0028417818740399388,1.7438836422924149,5.69784056697523
c1ccc(-c2ccc(C3CN(Cc4cccc(-c5nn[nH]n5)c4)C3)cc2)cc1,37,0.0028417818740399388,1.5266635115412182,5.44347699985433
c1ccc(-c2ccc(C3CN(Cc4cn[nH]c4)C3)cc2)cc1,37,0.0028417818740399388,1.5824351773186065,4.29613825313353
O=S(=O)(c1nnc[nH]1)N1CC(c2ccc(-c3ccccc3)cc2)C1,37,0.0028417818740399388,1.5706511658717952,3.002495596857
c1ccc(-c2ccc(C3CN(Cc4cccc5ccoc45)C3)cc2)cc1,36,0.0027649769585253456,1.5731648282179238,6.29684567864385
c1ccc(-c2ccc(C3CCN(CC4CC4)C3)cc2)cc1,36,0.0027649769585253456,1.963007493342565,5.92244814601472
c1ccc(-c2ccc(C3CN(Cc4ccncc4)C3)cc2)cc1,36,0.0027649769585253456,1.7313302578025958,5.14359160826178
c1ccc(-c2ccc(C3CCN(Cc4cccc(-c5nn[nH]n5)c4)C3)cc2)cc1,36,0.0027649769585253456,1.9865286930717305,4.89031566184332
c1ccc(-c2ccc(C3CCN(Cc4ccccc4-n4cccc4)C3)cc2)cc1,36,0.0027649769585253456,1.673837084407007,3.8074040942915
O=S(=O)(c1ncc[nH]1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,35,0.002688172043010753,2.0998960590178886,6.15260351648126
c1ccc(-c2ccc(C3CN(Cc4ccc5c(c4)CCC5)C3)cc2)cc1,35,0.002688172043010753,1.898494709562922,5.61253471621914
O=C1COc2ccc(CN3CCC(c4ccc(-c5ccccc5)cc4)C3)nc2N1,35,0.002688172043010753,1.8659210699661295,4.76906048596136
c1ccc(-c2ccc(C3CN(Cc4cnc5[nH]ccc5c4)C3)cc2)cc1,35,0.002688172043010753,1.472097754597186,3.53452732856207
c1ccc(-c2ccc(C3CCN(Cc4cnc5[nH]ccc5c4)C3)cc2)cc1,35,0.002688172043010753,1.693427016431703,3.25687400600394
c1ccc(COCCN2CCC(c3ccc(-c4ccccc4)cc3)C2)cc1,34,0.0026113671274961598,2.05227102211933,6.6479300997988
c1ccc(-c2ccc(C3CN(CC4CCOCC4)C3)cc2)cc1,34,0.0026113671274961598,1.5621373086797279,3.35361430499368
c1ccc(-c2ccc(C3CCN(Cc4csnn4)C3)cc2)cc1,33,0.002534562211981567,2.422453920918984,10.4086467399269
c1ccc(-c2ccc(C3CCN(Cc4cncnc4)C3)cc2)cc1,33,0.002534562211981567,1.8876051648665655,4.8800949666962
c1ccc(-c2ccc(C3CCN(Cc4cn(-c5ccccc5)nn4)C3)cc2)cc1,33,0.002534562211981567,1.8571804065163706,4.06015207028246
O=S(=O)(c1ccoc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,33,0.002534562211981567,1.732204344361617,4.03467028981175
c1ccc(-c2ccc(C3CCN(Cc4c[nH]nn4)C3)cc2)cc1,33,0.002534562211981567,1.6441949616679272,3.77749508963132
c1ccc(-c2ccc(C3CCN(Cc4ccc5c(c4)CCC5)C3)cc2)cc1,32,0.002457757296466974,2.005188728632648,8.24125963663627
c1ccc(-c2ccc(C3CCN(Cc4scc5c4OCCO5)C3)cc2)cc1,32,0.002457757296466974,1.8928881650636247,5.76354727825135
c1ccc(-c2ccc(C3CCN(Cc4ccncn4)C3)cc2)cc1,32,0.002457757296466974,1.8224111607579336,5.20232874205236
O=S(=O)(c1ccsc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,32,0.002457757296466974,1.5636596476694367,3.29992439331237
c1ccc(-c2ccc(C3CN(Cc4cc[nH+]cc4)C3)cc2)cc1,32,0.002457757296466974,1.652102058072297,3.26107396234269
O=S(=O)(c1cnc2n1CCC2)N1CCC(c2ccc(-c3ccccc3)cc2)C1,31,0.002380952380952381,1.8169652325392398,5.23402087111463
